aid_data_record_id,aid_data_parent_id,title,completion_year,name,description
66498,2432,"China Development Bank provides EUR 50 million loan to Green Vision Seven SRL for 82MW Solar Power Park Project (Linked to Project ID#73251)",2013,Romania,"In 2013, China Development Bank (CDB) and Green Vision Seven SRL — a special purpose vehicle (SPV) project company that is indirectly controlled by Hareon Solar Technology — signed an EUR 83 million loan agreement for an 82MW Solar Power Park Project. The loan was provided in a two tranches: an EUR 50 Million tranche (captured in Project ID#66498) and an EUR 38 million tranche (captured in Project ID#73251).   The borrowing terms of the loan are unknown. This project, which cost EUR 100 million in total, involved an expansion in the power generation capacity of an existing photovoltaic park in the village of Ucea de Sus within Brașov County from 55 MW to 82MW. Construction began in April 2013 and ended in December 2013. Then, in 2014, the expanded photovoltaic park was put into operation. The park was later sold to a Chinese company called Jiangsu Sunshine Group."
73251,2432,"China Development Bank provides EUR 38 million loan to Green Vision Seven SRL for 82MW Solar Power Park Project (Linked to Project ID#66498)",2013,Romania,"In 2013, China Development Bank (CDB) and Green Vision Seven SRL — a special purpose vehicle (SPV) project company that is indirectly controlled by Hareon Solar Technology — signed an EUR 83 million loan agreement for an 82MW Solar Power Park Project. The loan was provided in a two tranches: an EUR 50 Million tranche (captured in Project ID#66498) and an EUR 38 million tranche (captured in Project ID#73251). The borrowing terms of the loan are unknown.   This project, which cost EUR 100 million in total, involved an expansion in the power generation capacity of an existing photovoltaic park in the village of Ucea de Sus within Brașov County from 55 MW to 82MW. Construction began in April 2013 and ended in December 2013. Then, in 2014, the expanded photovoltaic park was put into operation. The park was later sold to a Chinese company called Jiangsu Sunshine Group."
56337,2061,"China Eximbank provides $130 million preferential buyer's credit for N’Djamena-Djermaya 66kV High Voltage Electricity Transmission Line and 90kV N'Djamena Power Transmission Loop and Distribution Network Project (Linked to Project ID#56308)",2015,Chad,"In 2011, China Eximbank and the Government of Chad signed a $130 million (CFA 83,992,912,730) preferential buyer’s credit (PBC) agreement for the N’Djamena-Djermaya 66kV High Voltage Electricity Transmission Line and 90kV N'Djamena Power Transmission Loop and Distribution Network Project. The borrowing terms of this loan are unknown. The proceeds of the loan were to be used by the borrower to finance 70% of the cost of two commercial (EPC) contracts worth approximately $185 million between the Government of Chad and China Machinery Engineering Corporation (CMEC), which were signed in April 2010. The project consisted of three components: the construction of a 40km, 66kv transmission line between Djarmaya (Djermaya) oil refinery and the substation in Lamadji; the construction of the 60MW Farcha II power plant (Centrale électrique de Farcha); and the construction of a 90kv electricity transmission loop around the city of N'Djamena (connecting the 60MW Farcha II power plant and the Lamadji, Djambalbar, and Garan-Gousso substations). CMEC was the EPC contractor responsible for implementation. On March 18, 2011, a groundbreaking ceremony was held. Chad’s President Deby, Prime Minister Dingal, and Chinese Ambassador to Chad Yang Guangyu attended the ceremony. On March 4, 2013, the Djarmaya-N’Djamena 66KV transmission line project subcomponent was officially completed. Then, on January 2, 2014, the Garan-Gousso substation and the 90kV transmission line from the 60MW Farcha II power plant to Garan-Gousso substation passed a 24-hour trial run. Roughly one year later, on January 29, 2015, power transmission began on the 90kV N'Djamena ring network."
67739,2499,"China Eximbank provides a $10 million USD export seller’s credit for the 24 MW Khadori Hydropower Station Project (Linked to Project ID#67744 and #42915)",2004,Georgia,"On March 27, 2001, the Export-Import Bank of China issued a pair of export seller’s credits to Eastern Energy Corporation Ltd. — a special purpose vehicle and joint venture of Sichuan Electric Power Import and Export Corporation (SEPC) (a 54% ownership stake), Hainan S.I.T Enterprise (a 39% ownership stake), and Peri Ltd. (a 7% ownership stake) — for the 24 MW Khadori Hydropower Station Project: a $10 million USD export seller’s credit (captured by Project ID#67739) and a RMB 78 million export seller’s credit (captured by Project ID#67744). Both of these credits carried maturity periods of 8 years, and an interest rate greater than 0%. The People's Insurance Company of China provided overseas investment insurance for the project. The total cost of the project was approximately $34 million USD.  The purpose of this project was to construct a 24-megawatt hydroelectric power plant located at the confluence of the Alazani river and the Samkura river in Pankisi Valley. The power station was expected to annually generate 140 million kilowatt (kV) hours on average. At the time, Georgia had an electricity shortage issue, which the project sought to rectify. The project also sought to capitalize on potentially exporting power to Turkey, which also faces power shortages, in the future. The project was implemented on a Build-Own-Operate (BOO) basis and financed with a mix of debt and equity. As specified in a contract with the Georgian Government, SEPC would operate the station for 25 years and receive the financial returns from the station's power generation. If Khadori turned out to be profitable after the expiration of the 25-year contract period, SEPC would be given the choice to retain its ownership of it. The equity investment by SEPC that was made in the project, $34 million USD, is captured by linked project ID#42915.  Sichuan Electric Power Import and Export Corporation (SEPC) — a wholly-owned subsidiary of the State Grid Corporation of China — was the EPC contractor responsible for implementation. Eastern Energy Corporation Ltd. also helped implement the project. Peri Ltd. was also active in implementation. The majority of the equipment for the power station came from China, including the generator sets and 35 kilometers of 110 kV transmission and transformation lines. Dongfang Electric Corporation provided the plant's hydroelectric generators. PowerChina Construction Group Chengdu Survey and Design Research Institute Co., Ltd. designed the power station. Sichuan Ertan International Engineering Consulting Co., Ltd. (ETI) provided project supervision. Sinohydro Bureau 10 Co., Ltd. was responsible for the installation of mechanical and electrical equipment. Hunan Sunny Hydropower Equipment Corporation (SHPE) provided 2x2700 kW Francis Turbine generator units.  The project began implementation on February 4, 2001, with a construction period of two years. The project completed and the hydropower station was connected to the Georgian power grid and put into commercial operation by then-President of Georgia Mikheil Saakashvili on November 20, 2004. Implementation had been slowed because of militant activity and by the new government of Georgia (which had been brought to power by the 2003 Rose Revolution), which refused to recognize an agreement on project implementation that the past government had made with Eastern Energy Corporation Ltd. The project was put into full operation on February 23, 2006. The power station has 60 employees; 50 are Georgian and 10 are Chinese.  This was reportedly China Eximbank's first export seller's credit project in the West. It also described as the first power station and the first large-scale foreign investment in Georgia since its independence."
67744,2499,"China Eximbank provides a RMB 78 million export seller’s credit for the 24 MW Khadori Hydropower Station Project (Linked to Project ID#67739 and #42915)",2004,Georgia,"On March 27, 2001, the Export-Import Bank of China issued a pair of export seller’s credits to Eastern Energy Corporation Ltd. — a special purpose vehicle and joint venture of Sichuan Electric Power Import and Export Corporation (SEPC) (a 54% ownership stake), Hainan S.I.T Enterprise (a 39% ownership stake), and Peri Ltd. (a 7% ownership stake) — for the 24 MW Khadori Hydropower Station Project: a $10 million USD export seller’s credit (captured by Project ID#67739) and a RMB 78 million export seller’s credit (captured by Project ID#67744). Both of these credits carried maturity periods of 8 years, and an interest rate greater than 0%. The People's Insurance Company of China provided overseas investment insurance for the project. The total cost of the project was approximately $34 million USD.  The purpose of this project was to construct a 24-megawatt hydroelectric power plant located at the confluence of the Alazani river and the Samkura river in Pankisi Valley. The power station was expected to annually generate 140 million kilowatt (kV) hours on average. At the time, Georgia had an electricity shortage issue, which the project sought to rectify. The project also sought to capitalize on potentially exporting power to Turkey, which also faces power shortages, in the future. The project was implemented on a Build-Own-Operate (BOO) basis and financed with a mix of debt and equity. As specified in a contract with the Georgian Government, SEPC would operate the station for 25 years and receive the financial returns from the station's power generation. If Khadori turned out to be profitable after the expiration of the 25-year contract period, SEPC would be given the choice to retain its ownership of it. The equity investment by SEPC that was made in the project, $34 million USD, is captured by linked project ID#42915.  Sichuan Electric Power Import and Export Corporation (SEPC) — a wholly-owned subsidiary of the State Grid Corporation of China — was the EPC contractor responsible for implementation. Eastern Energy Corporation Ltd. also helped implement the project. Peri Ltd. was also active in implementation. The majority of the equipment for the power station came from China, including the generator sets and 35 kilometers of 110 kV transmission and transformation lines. Dongfang Electric Corporation provided the plant's hydroelectric generators. PowerChina Construction Group Chengdu Survey and Design Research Institute Co., Ltd. designed the power station. Sichuan Ertan International Engineering Consulting Co., Ltd. (ETI) provided project supervision. Sinohydro Bureau 10 Co., Ltd. was responsible for the installation of mechanical and electrical equipment. Hunan Sunny Hydropower Equipment Corporation (SHPE) provided 2x2700 kW Francis Turbine generator units.  The project began implementation on February 4, 2001, with a construction period of two years. The project completed and the hydropower station was connected to the Georgian power grid and put into commercial operation by then-President of Georgia Mikheil Saakashvili on November 20, 2004. Implementation had been slowed because of militant activity and by the new government of Georgia (which had been brought to power by the 2003 Rose Revolution), which refused to recognize an agreement on project implementation that the past government had made with Eastern Energy Corporation Ltd. The project was put into full operation on February 23, 2006. The power station has 60 employees; 50 are Georgian and 10 are Chinese.  This was reportedly China Eximbank's first export seller's credit project in the West. It also described as the first power station and the first large-scale foreign investment in Georgia since its independence."
33244,1580,"China Eximbank provides $300 million preferential buyer’s credit for Phase I of Puttalam/Norochcholai Coal Power Project (Linked to Project ID#33463 and #33452)",2011,"Sri Lanka","On August 30, 2005, China Eximbank signed a $300 million preferential buyer’s credit (PBC) agreement with the Ministry of Finance of the Government of Sri Lanka for the Phase I of Puttalam/Norochcholai Coal Power Project. The PBC (captured via Project ID#33244) carries a 20 year maturity, a 5 year grace period, and an interest rate of 2%. It had disbursed $142,821,238.39 as of December 31, 2007 (Rs. 15,792,886,899) and $168,963,610.51 as of December 31, 2008 (Rs. 18,303,490,000). The borrower made repayments worth $19,978,236.69 in 2014 (Rs. 2,608,894,000). The PBC’s amount outstanding was $270,343,633.50 (Rs. 35,303,310,000) as of December 31, 2013, $210,000,000 as of December 31, 2016, and $100,000,000 as of June 30, 2022. On September 8, 2006, China Eximbank signed a $152,982,428 buyer’s credit loan (BCL) with the Ministry of Finance of the Government of Sri Lanka for Phase I of the Puttalam/Norochcholai Coal Power Project. The BCL (captured via Project ID#33463) carries a 15 year maturity, a 5 year grace period, and a 6% interest rate. The BCL’s amount outstanding was $3,960,517.11 (Rs. 517,191,257) as of December 31, 2013, $130,035,063 as of December 31, 2016, and $45,894,728 as of June 30, 2022.   The Ministry of Finance of the Government of Sri Lanka then used the proceeds from the BCL and PBC to on-lend to Ceylon Electricity Board (CEB), which is a state-owned electricity company that controls all major functions of electricity generation, transmission, distribution and retailing in Sri Lanka. This project involved the installation of a 300MW coal power plant, a jetty for coal handling, and transmission lines from Norochcholai to Veyangoda and substation at Veyangoda. China Machinery Engineering Corporation (CMEC) was the contractor responsible for project implementation. A project inauguration ceremony took place on May 11, 2006. Phase I construction began on July 23, 2007. The first 300-megawatt phase was completed and ceremonially commissioned by President Mahinda Rajapaksa on March 22, 2011.  However, there are indications that project has encountered debt repayment problems. In 2021, CEB disclosed that the Sri Lankan Treasury had ‘take[n] over [its] repayment obligation[s] due to non-availability of appropriate income based on the tariff approved by [Public Utilities Commission of Sri Lanka].’ Then, on April 12, 2022, the Government of Sri Lanka announced a ‘pre-emptive’ sovereign debt default, noting that it would suspend debt repayments to all external creditors other than multilateral institutions. Its decision to suspend external debt service reportedly affected all China Eximbank loans with amounts outstanding at the time of the announcement."
33452,1580,"China Eximbank provides $891 million preferential buyer’s credit for Phase II of the Puttalam/Norochcholai Coal Power Project (Linked to Project ID #33244 and #33463)",2014,"Sri Lanka","On December 25, 2009, China Eximbank signed a $891,000,000 preferential buyer’s credit (PBC) agreement [CHINA EXIMBANK PBC 2009 NO. (42) Total No.(104)] with the Ministry of Finance of the Government of Sri Lanka for the Phase II of Puttalam/Norochcholai Coal Power Project. The PBC carries a 20 year maturity, 5 year grace period, an interest rate of 2%, a 0.5% commitment fee, and a 0.5% management fee. The Ministry of Finance of the Government of Sri Lanka then used the proceeds from the PBC (loan) to on-lend to Ceylon Electricity Board (CEB), which is a state-owned electricity company that controls all major functions of electricity generation, transmission, distribution and retailing in Sri Lanka. CEB was expected to use the proceeds of the loan to partially finance a commercial contract [ID# PCPP/CANC/2009/01] with China National Machinery Import & Export Corporation, which was signed on July 29, 2009.  China Eximbank disbursed an unknown amount in 2009, and unknown amount in 2010, an unknown amount in 2011, $127,781,680 in 2012, $110,377,930 in 2013, $50,765,212 in 2014, and $66,952,892 In 2015. The loan's amount outstanding was $772,200,000 as of December 31, 2016, $445,500,000 as of June 30, 2022.   The project involved the establishment of two power plants with a capacity of 300MW, a transmission line from Norochcholai to Anuradhapura, new substations at Chilaw and Anuradhapura and the construction of the expansion of coal handling port facilities and employees' housing.   China Machinery Engineering Corporation was the contractor responsible for project implementation and its work was overseen by the CEB. Phase I of the project, which was also financed by China Eximbank, ran from 2007 to 2011 (as captured via Project ID#33244 and #33463). The groundbreaking ceremony for Phase II of the project took place on March 18, 2010. Phase II was completed on September 16, 2014.   However, the project has encountered debt repayment problems. On April 12, 2022, the Government of Sri Lanka announced a ‘pre-emptive’ sovereign debt default, noting that it would suspend debt repayments to all external creditors other than multilateral institutions. Its decision to suspend external debt service reportedly affected all China Eximbank loans with amounts outstanding at the time of the announcement."
33463,1580,"China Eximbank provides $152.9 million buyer’s credit loan for Phase I of the Puttalam/Norochcholai Coal Power Project (Linked to Project ID#33244 and #33452)",2011,"Sri Lanka","On August 30, 2005, China Eximbank signed a $300 million preferential buyer’s credit (PBC) agreement with the Ministry of Finance of the Government of Sri Lanka for Phase I of the Puttalam/Norochcholai Coal Power Project. The PBC (captured via Project ID#33244) carries a 20 year maturity, a 5 year grace period, and an interest rate of 2%. It had disbursed $142,821,238.39 as of December 31, 2007 (Rs. 15,792,886,899) and $168,963,610.51 as of December 31, 2008 (Rs. 18,303,490,000). The borrower made repayments worth $19,978,236.69 in 2014 (Rs. 2,608,894,000). The PBC’s amount outstanding was $270,343,633.50 (Rs. 35,303,310,000) as of December 31, 2013, $210,000,000 as of December 31, 2016, and $100,000,000 as of June 30, 2022. On September 8, 2006, China Eximbank signed a $152,982,428 buyer’s credit loan (BCL) with the Ministry of Finance of the Government of Sri Lanka for the Phase I of Puttalam/Norochcholai Coal Power Project. The BCL (captured via Project ID#33463) carries a 15 year maturity, a 5 year grace period, and a 6% interest rate. The BCL’s amount outstanding was $3,960,517.11 (Rs. 517,191,257) as of December 31, 2013, $130,035,063 as of December 31, 2016, and $45,894,728 as of June 30, 2022.  The Ministry of Finance of the Government of Sri Lanka then used the proceeds from the BCL and PBC to on-lend to Ceylon Electricity Board (CEB), which is a state-owned electricity company that controls all major functions of electricity generation, transmission, distribution and retailing in Sri Lanka. This project involved the installation of a 300MW coal power plant, a jetty for coal handling, and transmission lines from Norochcholai to Veyangoda and substation at Veyangoda. China Machinery Engineering Corporation (CMEC) was the contractor responsible for project implementation. A project inauguration ceremony took place on May 11, 2006. Phase I construction began on July 23, 2007. The first 300-megawatt phase was completed and ceremonially commissioned by President Mahinda Rajapaksa on March 22, 2011.   However, there are indications that project has encountered debt repayment problems. In 2021, CEB disclosed that the Sri Lankan Treasury had ‘take[n] over [its] repayment obligation[s] due to non-availability of appropriate income based on the tariff approved by [Public Utilities Commission of Sri Lanka]. Then on April 12, 2022, the Government of Sri Lanka announced a ‘pre-emptive’ sovereign debt default, noting that it would suspend debt repayments to all external creditors other than multilateral institutions. Its decision to suspend external debt service reportedly affected all China Eximbank loans with amounts outstanding at the time of the announcement."
54572,2009,"China Eximbank provides RMB 304 million government concessional loan for the 30MW Wadadli Power Plant Construction Project (linked to Project ID#54574)",2011,"Antigua and Barbuda","During the second half of 2006, the Prime Minister of Antigua and Barbuda, and others on behalf of the Government of Antigua and Barbuda and Antigua Public Utilities Authority (APUA), reportedly began discussions with Beijing Construction Engineering Group Co. Ltd (BCEG) about the possibility installing power generators in Antigua. These negotiations resulted in a memorandum of understanding (MOU) between APUA and BCEG signed on November 11, 2006. Then, on May 21, 2008, the Chinese Government and the Government of Antigua and Barbuda signed a preferential loan framework agreement for the 30MW Wadadli Power Plant Construction Project. Then, on June 26, 2008, China Eximbank and the Government of Antigua and Barbuda signed an RMB 300,000,000 (EC$ 117,690,000) government concessional loan (GCL) agreement [CHINA EXIMBANK GCL No. (2008) 15 TOTAL NO. (234)] for the 30MW Wadadli Power Plant Construction Project. The GCL carries the following terms: a 2% interest rate, a 0% default (penalty) interest rate, a 20.75 year maturity, a 5 year grace period, a 0.6% management fee, and a 0.5% commitment fee. The GCL’s final maturity date is March 21, 2029. The proceeds of the loan were to be used by the borrower to finance a commercial contract between APUA and BCEG, which was signed on March 11, 2008. The loan's (principal) amount outstanding was EC$ 71,172,774 (or approximately RMB 167,759,220) as of September 2020.  The purpose of the project was to construct the 30MW Wadadli power plant — with six 5MW generators — in Crabbs, Antigua. Beijing Construction Engineering Group Co. Ltd. was the contractor responsible for project implementation. A groundbreaking ceremony was held on October 2, 2008. The project was officially completed and handed over to the local authorities on September 8, 2011. Then, in 2012, the plant stopped working due to consistent overheating. Allegations arose that the power plant engines were used, rather than the new engines that Beijing Construction Engineering Group Co. Ltd. had promised. Another allegation emerged: that the engines only cost RMB 147 million and that the additional RMB 157 million was never allocated or misappropriated. The power plant already had rusting before the point of its commissioning in 2011 and it was decommissioned five years later (in 2016). Three of the units were brought back into use in 2017 at the cost of $6 million. However, one of the units failed again several years later.   In September 2020, APUA’s Electricity Business Unit Manager, Andre Matthias, announced that the power plant would be closing due to the conditions of the plant itself and its underperformance. In September 2020, the outstanding balance of the China Eximbank loan was EC$71,172,774 (or approximately RMB 167,759,220), which prompted questions and concerns about how the loan would be repaid in the absence of electricity sales from a functioning power plant. Antigua and Barbuda’s Information Minister Melford Nicholas said in September 2020 that ‘It is a tricky issue because as you would know the government enjoys a very good bilateral relationship with the People’s Republic of China and this represents a blot, represents a terrible outcome in terms of what should have been an effective developmental support for the infrastructure in the country. It really is a bad situation. […] I think the most that can happen now is for both parties to have a conversation as to what happens to the outstanding arrears and the debt that has been incurred and whether or not consideration will be given for it to be written off […] and whether or not there is a methodology of converting the debt into another form of development but it is not something that is an easy road to tread. […] We do not want to necessarily impair that relationship with the government of China and allow this particular issue to impair the relationship but clearly we have not gotten value for money […] and so something needs to be done and we will engage them effectively so that we can come to some sort of compromise.’"
67037,NULL,"ICBC provides $399.7 million loan for 482MW Teninskaya Gas Steam Combined Cycle Power Project",2017,Russia,"On May 6, 2010, Public Joint-Stock Company Territorial Generating Company No. 2 (JSC ‘TGK-2’) and China Huadian Hong Kong Co., Ltd. signed a a memorandum of understanding regarding the 482MW Teninskaya Gas Steam Combined Cycle Power Project. Then, on December 30, 2011, Public Joint-Stock Company Territorial Generating Company No. 2 (JSC ‘TGK-2’ or TGK-2) and China Huadian Hong Kong Co., Ltd. created a special purpose vehicle (SPV) and joint venture called Limited Liability Company ‘Huadian-Teninskaya Combined Cycle Power Plant’. JSC ‘TGK-2’ holds a 51% ownership stake and China Huadian Hong Kong Co., Ltd. holds a 49% ownership stake in the SPV. The purpose of the SPV was to procure, construct, install, and operate a new gas-fired combined-cycle co-generation power plant with a capacity of 482 MW in Yaroslav Oblast.  The total cost of the 482MW Teninskaya Gas Steam Combined Cycle Power Project was $571 million and it was financed according to 70:30 debt-to-equity ratio. On January 18, 2013, ICBC and Limited Liability Company "Huadian-Teninskaya Combined Cycle Power Plant" signed a $399,777,000 (approximately 14 billion rubles) facility agreement for the 482MW Teninskaya Gas Steam Combined Cycle Power Project. The loan carried the following borrowing terms: an 11 year maturity, a 2.5 year grace period, an interest of 6-month LIBOR plus a 3.95 margin (4.11% as of January 2013), and a commitment fee of 0.8%. The parties agreed that repayments would be made in 19, semi-annual installments of $28,555,500 between June 1, 2015 and December 1, 2023. The proceeds of the loan were used to finance the procurement, construction, installation, and operation of a new gas-fired combined-cycle co-generation power plant with a capacity of 482 MW in Yaroslav Oblast. JSC “TGK-2” pledged its 51% ownership stake as as a source of collateral to ICBC. The borrower also purchase credit insurance from Sinosure.   The first tranche of the loan (worth 4.5 billion rubles) was disbursed on December 30, 2013. The second tranche (worth 1.88 billion billion rubles) was disbursed on September 15, 2014. The third tranche (worth 5.76 billion rubles) was disbursed on January 20, 2016. JSC ‘TGK-2’ and China Huadian Hong Kong Co., Ltd. were jointly responsible for implementation. A foundation-laying ceremony took place on September 7, 2011. Construction began on June 18, 2012. The launch of the power plant was originally planned for 2014. However, the local authorities agreed to postpone its commissioning until December 31, 2016. Then, in January 2017, the opening of the facility was delayed by the Russian government for violations following an inspection. The facility was charged 78 million rubles for each following month the launch was delayed. The plant was ultimately put into operation on June 20, 2017. The plant now generates 3.02 billion KWH of electric energy and 814,000 Giga of heating supply annually. It has reportedly reduced Yaroslavl Oblast’s power deficit from 40-50% to 5-15% and it fully meets electricity demand during the winter season. The facility was built under a capacity supply agreement (CSA), which allows for a guaranteed return on investment, but includes penalties for delays in the opening o the facility."
