artist,spotify_track_uri,genre
"""Weird Al"" Yankovic",spotify:track:60R2v9lheAu3lwZwAFxMZK,comedy rock
$NOT,spotify:track:0j8ppsOOawdPCJnSTcXgOy,cloud rap
$uicideboy$,spotify:track:1tm7c4V0kqLiN0XPVnoUcT,cloud rap
*NSYNC,spotify:track:62bOmKYxYg7dhrC6gH9vFn,boy band
10 Years,spotify:track:7dXhFhkQIkuPLqdGSkSOX0,alternative metal
10cc,spotify:track:1LOZMYF5s8qhW7Rv4w2gun,album rock
1da Banton,spotify:track:4vHy2IHzf3EabEa7oMpUZB,afrobeats
21 Savage,spotify:track:2t8yVaLvJ0RenpXUIAC52d,atl hip hop
2Pac,spotify:track:0XRbYXQUymj9SJkrr8YK5B,g funk
2TOAROOM,spotify:track:1h9BMP5a6bwxuhqYYutWKV,No genres found
3 Doors Down,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,alternative metal
311,spotify:track:2JFOi1m1TO2E6lRnPQTVug,alternative metal
3OH!3,spotify:track:5jzX4dWVQeBTtfBaXnMRt5,dance pop
4batz,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,No genres found
6LACK,spotify:track:4at3d5QWnlibMVN75ECDrp,atl hip hop
90sFlav,spotify:track:1tZQJiCrjMuWZkNdtClr2Z,lo-fi beats
99zed,spotify:track:7ElsSFSmKwQ1zsGQHnMj8c,dark trap
? & The Mysterians,spotify:track:4PEeZ2U4UfP2Jo8EtIOjus,chicano punk
A Day In Pompeii,spotify:track:5XJ9ePBAaAeHHfQUrkRrOu,No genres found
A Day To Remember,spotify:track:45oBSaWml0fU1S6qcHcpxF,alternative metal
A Great Big Pile of Leaves,spotify:track:16EK3lrTC5RAh3Cna6HYQZ,alternative emo
A Perfect Circle,spotify:track:6CqYhhUPJORx1vvdTNc8jv,alternative metal
A Tribe Called Quest,spotify:track:3YQCClOSBrbKkeAhmGvkoP,conscious hip hop
A$AP ANT,spotify:track:18kOgPYJgcMCpurna8P23T,baltimore hip hop
A$AP Ferg,spotify:track:5oady7OSE7dH7LHiqmb3Cr,hip hop
A$AP Rocky,spotify:track:1eLU27PPFxBhbp1CBjPh9J,east coast hip hop
AC/DC,spotify:track:753KutoAy00apPsplMRetG,australian rock
AFI,spotify:track:0Ti2dlF2xLjXblvdU5fCxM,alternative metal
AJR,spotify:track:4SQLQfcR0vhyIN4uPBlc0d,pov: indie
ANOTR,spotify:track:5u4hhtZ7f4rWkMZEZcTKrH,dutch tech house
AORTHA,spotify:track:5K15lPNRMdLwAxjXqD2ab1,No genres found
AVOID,spotify:track:56gonYSEaVdK6sH1W16NYw,metalcore
AZ,spotify:track:67CEjUtWIM2xJGtti871qk,alternative hip hop
Aaron Frazer,spotify:track:1jSAARNT7fzLTcPc4IUQQz,No genres found
Aaron May,spotify:track:7cLnbmx7ZUWAwyocrKz3wL,conscious hip hop
Aaron Neville,spotify:track:5hxOvIWUQ1G2THsXhQlkle,No genres found
Ab-Soul,spotify:track:40OcWS4cakpvJ4ZYfwHWSP,conscious hip hop
Abby Bella May,spotify:track:1XvIHLaJ1pX7lDC8CW9sTV,australian alternative pop
Ace,spotify:track:6Wgst4P9SOnc6WGLtfTb1z,classic uk pop
Acoustic Vibe,spotify:track:1pFespOAHwziUyHbof4jU2,No genres found
Action Bronson,spotify:track:26dvKZpovRcoR76a40Okjf,alternative hip hop
Adam Sandler,spotify:track:1LyW3Cwi49N1l58Pf1TNKy,comic
Adi Oasis,spotify:track:0FTpFi1BlqoBVELlh7jK50,indie r&b
Aerosmith,spotify:track:73TxYZd0lBCVRrHawrAglA,album rock
Agitation Free,spotify:track:3ssk2bj3neE70hjRUrNcd8,krautrock
Ahmad Jamal Trio,spotify:track:0kUYnVS6z9YhL22l9pDDcB,bebop
Akusmi,spotify:track:3kBpgrIF7tSi4KBkjiF1uh,No genres found
Al Green,spotify:track:10vkYRKw6Jjr7try1ir50G,classic soul
Alabama Shakes,spotify:track:6q0lIjDSuZDhrg9GC9yUQO,alabama indie
Albert Ayler,spotify:track:2bPeAxNC1S1C359ds8Tw3X,avant-garde jazz
Alberto Baldan Bembo,spotify:track:4LAa9a5VMkk3mN8BHhB93c,italian library music
Alessi Brothers,spotify:track:1iUpSRmgnbTRqU0Pb217qI,yacht rock
Alex G,spotify:track:4p9iQNEmsIGkB6eG8Val8n,philly indie
Alfa Mist,spotify:track:3ejqlgVNAYr7PWuBSXl4K2,british jazz
Alice Coltrane,spotify:track:2gG3ivmsfylVXLyIJvLXyN,afrofuturism
Alice In Chains,spotify:track:6gZVQvQZOFpzIy3HblJ20F,alternative metal
Alice Phoebe Lou,spotify:track:1A8QcZJKhUmJwdqzoAahvR,south african alternative
Alina Baraz,spotify:track:17YuXw2ScwLLL1sUrRKhoW,etherpop
Alkaline Trio,spotify:track:3VVstQ0fpj4pdSPe2QZT5z,chicago punk
All Day Breakfast Cafe,spotify:track:6AhQ7t5xMjqj24mJ87o9PP,No genres found
All Time Low,spotify:track:0JJP0IS4w0fJx01EcrfkDe,modern rock
Allah-Las,spotify:track:4H0KLsPpr5atperrHGfz3x,indie surf
Allman Brothers Band,spotify:track:1hHGUdFaiJHw9hVZGJWYO2,album rock
Alvvays,spotify:track:0KVWVuutF9Dn8li4HdyAeU,art pop
Amaarae,spotify:track:5j34I5WUnKZVHP14J0Mlcb,afro r&b
Amanaz,spotify:track:5xevas4P14kVmD4St0X3yy,acid rock
Ambrosia,spotify:track:5nFpF7jUbVnnDMXIu65aoh,soft rock
America,spotify:track:4IU1RL4BKvFyXtbTwaHAvW,album rock
American Football,spotify:track:6kZqCqD1r08sJAQ1TjuEpM,alternative emo
Amerie,spotify:track:1mnqraQ8oV8MX92rdOFLWW,contemporary r&b
Aminé,spotify:track:5qHirGR7M9tdm6C17DlzSY,pop rap
Amnesty,spotify:track:2q2EAq1UZQGenqXZgBkLbu,traditional funk
Amoeba Arena,spotify:track:7klFG2Z1m944bkWv2qUqkZ,idaho indie
Amphisbaena,spotify:track:7uVOI8OGEimo5Evir62vtj,No genres found
Amy Winehouse,spotify:track:4NDpn6yfD5aqafYWFEaJDz,british soul
Anderson .Paak,spotify:track:1BSZGNpIm2nBt1hWSK2bRp,escape room
Andrew Hale,spotify:track:6ppV8QT58Wu2Xu53kNlZYj,No genres found
