Series Name,Series Code,Time,Time Code,China
"Population, total",SP.POP.TOTL,1995,YR1995,1204855000
"Population, total",SP.POP.TOTL,1996,YR1996,1217550000
"Population, total",SP.POP.TOTL,1997,YR1997,1230075000
"Population, total",SP.POP.TOTL,1998,YR1998,1241935000
"Population, total",SP.POP.TOTL,1999,YR1999,1252735000
"Population, total",SP.POP.TOTL,2000,YR2000,1262645000
"Population, total",SP.POP.TOTL,2001,YR2001,1271850000
"Population, total",SP.POP.TOTL,2002,YR2002,1280400000
"Population, total",SP.POP.TOTL,2003,YR2003,1288400000
"Population, total",SP.POP.TOTL,2004,YR2004,1296075000
"Population, total",SP.POP.TOTL,2005,YR2005,1303720000
"Population, total",SP.POP.TOTL,2006,YR2006,1311020000
"Population, total",SP.POP.TOTL,2007,YR2007,1317885000
"Population, total",SP.POP.TOTL,2008,YR2008,1324655000
"Population, total",SP.POP.TOTL,2009,YR2009,1331260000
"Population, total",SP.POP.TOTL,2010,YR2010,1337705000
"Population, total",SP.POP.TOTL,2011,YR2011,1345035000
"Population, total",SP.POP.TOTL,2012,YR2012,1354190000
"Population, total",SP.POP.TOTL,2013,YR2013,1363240000
"Population, total",SP.POP.TOTL,2014,YR2014,1371860000
"Population, total",SP.POP.TOTL,2015,YR2015,1379860000
"Population, total",SP.POP.TOTL,2016,YR2016,1387790000
"Population, total",SP.POP.TOTL,2017,YR2017,1396215000
"Population, total",SP.POP.TOTL,2018,YR2018,1402760000
"Population, total",SP.POP.TOTL,2019,YR2019,1407745000
"Population, total",SP.POP.TOTL,2020,YR2020,1411100000
