month,review
2018-10,71
2018-11,82
2018-12,86
2019-01,70
2019-02,70
2019-03,72
2019-04,73
2019-05,91
2019-06,80
2019-07,79
2019-08,77
2019-09,81
2019-10,77
2019-11,93
2019-12,100
2020-01,76
2020-02,72
2020-03,68
2020-04,56
2020-05,78
2020-06,83
2020-07,73
2020-08,78
2020-09,76
2020-10,74
2020-11,82
2020-12,85
2021-01,74
2021-02,72
2021-03,74
2021-04,80
2021-05,81
2021-06,74
2021-07,74
2021-08,82
2021-09,85
2021-10,80
2021-11,97
2021-12,96
2022-01,76
2022-02,68
2022-03,71
2022-04,72
2022-05,76
2022-06,75
2022-07,81
2022-08,77
2022-09,82
2022-10,84
2022-11,86
2022-12,86
2023-01,74
2023-02,71
2023-03,68
2023-04,73
2023-05,72
2023-06,77
2023-07,77
2023-08,79
2023-09,81
2023-10,78
2023-11,90
2023-12,86
2024-01,74
2024-02,61
2024-03,67
2024-04,63
2024-05,69
2024-06,64
