STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,MEASURE,Measure,FINAL_DEMAND_AREA,Final demand area,EMISSIONS_ORIGIN_AREA,Emissions origin area,EMISSIONS_ORIGIN_ACTIVITY,Emissions origin activity,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1995,,130.647,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1996,,134.533,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1997,,155.654,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1998,,191.411,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1999,,191.797,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2000,,212.084,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2001,,224.433,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2002,,260.062,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2003,,333.015,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2004,,432.809,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2005,,532.321,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2006,,542.724,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2007,,507.662,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2008,,450.287,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2009,,360.364,,6,Millions
