STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,MEASURE,Measure,FINAL_DEMAND_AREA,Final demand area,EMISSIONS_ORIGIN_AREA,Emissions origin area,EMISSIONS_ORIGIN_ACTIVITY,Emissions origin activity,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1995,,17.06,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1996,,16.616,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1997,,17.132,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1998,,16.268,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,1999,,16.94,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2000,,22.145,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2001,,23.068,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2002,,20.658,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2003,,26.309,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2004,,32.662,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2005,,29.689,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2006,,29.337,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2007,,35.422,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2008,,51.269,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2009,,46.766,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2010,,60.199,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2011,,72.539,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2012,,79.348,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2013,,84.14,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2014,,91.575,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2015,,91.412,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2016,,86.977,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2017,,93.154,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2018,,86.248,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,CHN,China (People’s Republic of),USA,United States,_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2019,,67.336,,6,Millions
