OBJECTID,FIPS,PASSENGER,STRACNET,CARTO,Rail_Type,Rail_Type_Description,RROwner,RR_OPERATOR,Subdivision,Division,SIGSYS,Track Rights 1,Track Rights 2,Track Rights 3,Yard Name,Max Weight (lbs),Clearance (TOFC),Clearance (COFC),Clearance (Autorack),Railroad Type,FCC_VGIN,Notes,EDITOR,State Supported Route,Rail_Active_Status,Former_Rail_Type,Shape__Length
1,51790,No,No,Yes,M,Main Line,SV,DGVR,N/A,N/A,MAN,N/A,N/A,N/A,N/A,286000,"19 feet, 4 inches","19 feet, 4 inches","19 feet, 4 inches",Shortline,B1, ,AB,,,Main Line,21380.2685759373
2,51790,Yes,No,Yes,M,Main Line,BB,BB,RICHMOND & ALLEGHANY DIVISION,N/A,CTC,AMTK,CSXT,N/A,N/A,286000,2tunnel/bridge(SRP),2tunnel/bridge(SRP),2tunnel/bridge(SRP),Shortline,B1, ,AB,,,Main Line,2200.11811219166
3,51790,No,No,No,O,Spur,BB,BB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B2, ,AB,,,Spur,856.336087160502
4,51790,Yes,No,Yes,M,Main Line,BB,BB,RICHMOND & ALLEGHANY DIVISION,N/A,CTC,AMTK,CSXT,N/A,N/A,286000,2tunnel/bridge(SRP),2tunnel/bridge(SRP),2tunnel/bridge(SRP),Shortline,B1, ,AB,,,Main Line,10394.4414919455
5,51790,No,No,No,O,Spur,BB,BB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B2, ,AB,,,Spur,2599.45713692476
6,51790,No,No,No,O,Spur,SV,DGVR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B2, ,AB,,,Spur,496.761608706035
7,51790,No,No,No,O,Spur,SV,DGVR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B2, ,AB,,,Spur,60.7165586830421
8,51660,No,No,Yes,M,Main Line,NS,CHW,CHESAPEAKE WESTERN ELKTON TO DAYTON,VIRGINIA DIVISION,MAN,N/A,N/A,N/A,N/A,286000,N/A,N/A,N/A,Shortline,B1, ,AB,,,Main Line,14426.4471480967
9,51790,No,No,No,S,Passing Siding,BB,BB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B1, ,AB,,,Passing Siding,815.847355681058
10,51015,No,Yes,Yes,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,33919.5811398474
11,51015,No,Yes,Yes,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,29242.6411724347
12,51015,No,No,No,S,Passing Siding,NS,NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Passing Siding,6247.45249663597
