Time,China,United States
1995,1520.029469,41710.82072
1996,1653.433789,42783.81657
1997,1787.766977,44151.68604
1998,1909.622328,45596.43068
1999,2038.206474,47234.24553
2000,2193.896866,48616.25463
2001,2359.572385,48597.42461
2002,2557.891612,48967.36612
2003,2797.176659,49905.52331
2004,3061.833173,51348.34734
2005,3390.716159,52649.57131
2006,3800.765796,53596.31524
2007,4319.031398,54152.82927
2008,4711.643449,53703.9629
2009,5128.904128,51863.61834
2010,5647.068727,52821.40476
2011,6152.696873,53259.25521
2012,6591.662494,54080.22865
2013,7056.423092,54844.24258
2014,7532.785301,55817.56325
2015,8016.445595,57040.20821
2016,8516.528742,57658.67088
2017,9053.228725,58703.14408
2018,9619.209475,60127.21028
2019,10155.51088,61330.64598
2020,10358.17,59394.77833
